content,score
"Interesting, premium",4
Ribet,1
Xnxx com,5
Aplikasi Parah. Udah berlangganan tapi login gabisa. JANGAN ADA YANG PAKE !!!,1
"Ok, mantap untuk film-filmnya",4
aplikasi tolol login aja gabisa anj benga,1
"Kadang kualitas videonya toba2 buram, apk kadang keluar sendiri dan bug. Dan kurang lengkap filmnya",4
Good,5
"Masih banyak film² seru yang ngga ada di apk ini,,",3
Mantabbb...,5
Pembayaran berlangganan nya ribet bgt 🥹,3
Jelek ga bisa login,1
"Udah uninstal lagi ribet registrasi Verifikasi email, verifikasi no telp Kalo udah selesai ternyta harus berlangganan untuk nonton",3
Keren,5
"Apk ga berguna buat berlangganan saja dipersulit yang harus ini lah itu lah mending gausa nonton, jadi wajar aja rate nya cuman 3,7",1
"Apk paling juancuk yg saya tau, untuk berlangganan aja susah,ko malah dibangga2kan.",1
Tolong tambahkan kecepatan putaran vidio.,3
Ok,5
Knp offline di apkny padahal sdh beli paket prime video dan ad kuota -_-,1
"Aplikasi paling ribet, mau masuk aja susah",1
Udah berlangganan tapi akun tidak bisa dibuka. Keluar otomatis pada saat klik ikon aplikasi tanpa ada penjelasan. Aplikasi gagal,1
"Dan sekali lagi bug login di apk milik saya, jujur kecewa dari sisi jaringan saya sudah bagus, ketika setelah saya masukin kode untuk masuk malah kembali lagi ke bagian sandi, dan tertulis sandi salah, lalu tidak bisa di login lagi, sampah",1
"Sangat bagus, saya suka nonton film Indonesia disini 👍",5
Ga bisa login,1
jelas jelas pakai perangkat selluler di kira pakai TV Aneh banget aplikasi ini mau masuk aja susah banget pantes gak laris aplikasinya,1
Menyenangkan,5
"Mau login gk bisa2, tiap minta kode buat login gk dikirim2 sampe berhari2. Trus gmna si ini, mw reses pasword jg kodenya gk dikirim2, pdhal nomer aktif.",3
Aplikasi bagus,5
Barang siapa yang bersungguh-sungguh maka akan berhasil,5
"Aplikasi TOLOL. sign up gagal terus, banyak masalah",1
Kecewa sudah masukin OTP masih di kembaliin di layar Login..Aplikasi merah masih bagus dibanding ini,1
Bagus,5
Login doang susah banget,2
Good,5
apaan anying login AE ga bisa gw co,1
Good,5
Mau login ulang susahnya minta ampun.,1
"login aja dipersusah, kode OTP tak kunjung terkirim, mau claim reward dari telkomsel eh pas regirstrasi nomor anda telah terdaftar padahal belum daftar sama sekali. pass error ""kode negara +62 tidak bisa terpakai coba menggunakan code ponsel negara lain"". wes golek langganan liyane konspirasi amriki kyne",1
bagus bagus filmnya recomended semua,5
"GAK SUKAA, BANYAK BANGET YANG BELANGGANAN MAU NONTON APA NJIR",1
